Order_ID,Customer_ID,Region,Category,Sub_Category,Product_Name,Quantity,Sales,Cost,Profit,Order_Date
ORD10000,CUST1654,North,Technology,Copiers,Office Copier Y,4,380.79,335.2,45.59,2022-08-17
ORD10001,CUST1142,North,Office Supplies,Storage,Storage Box,10,734.67,543.26,191.41,2023-03-09
ORD10002,CUST1032,North,Technology,Phones,iPhone Model A,9,164.46,92.49,71.97,2023-09-09
ORD10003,CUST1027,South,Office Supplies,Storage,File Storage,4,67.5,57.14,10.36,2023-04-05
ORD10004,CUST1603,East,Technology,Phones,Pixel Model C,7,605.1,473.93,131.17,2022-12-15
ORD10005,CUST1284,South,Technology,Accessories,USB Cable,2,30.38,26.98,3.4,2023-01-25
ORD10006,CUST1099,East,Furniture,Bookcases,Metal Bookcase,1,834.12,487.91,346.21,2024-01-18
ORD10007,CUST1470,North,Furniture,Chairs,Office Chair,10,190.01,108.94,81.07,2024-06-01
ORD10008,CUST1370,South,Office Supplies,Binders,Binder A,4,311.2,220.92,90.28,2024-03-02
ORD10009,CUST1296,North,Technology,Phones,Galaxy Model B,5,437.63,269.8,167.83,2023-04-10
ORD10010,CUST1650,East,Technology,Accessories,Wireless Charger,4,615.73,342.22,273.51,2023-11-18
ORD10011,CUST1273,North,Office Supplies,Storage,Storage Box,9,299.22,193.46,105.76,2024-01-17
ORD10012,CUST1250,South,Furniture,Tables,Office Desk,9,461.51,375.7,85.81,2022-08-13
ORD10013,CUST1701,East,Technology,Phones,iPhone Model A,6,207.68,146.56,61.12,2023-02-15
ORD10014,CUST1274,North,Technology,Copiers,Office Copier Y,4,596.49,309.33,287.16,2023-11-03
ORD10015,CUST1511,West,Office Supplies,Paper,A4 Paper Pack,5,611.47,347.44,264.03,2022-05-23
ORD10016,CUST1252,East,Office Supplies,Storage,File Storage,10,74.4,65.44,8.96,2023-02-13
ORD10017,CUST1370,South,Technology,Copiers,Office Copier Y,2,965.98,795.35,170.63,2024-02-13
ORD10018,CUST1048,North,Technology,Copiers,Office Copier X,7,311.57,167.96,143.61,2023-09-03
ORD10019,CUST1065,West,Furniture,Bookcases,Metal Bookcase,9,687.39,464.72,222.67,2022-09-15
ORD10020,CUST1994,North,Office Supplies,Storage,Storage Box,9,130.82,91.32,39.5,2024-02-08
ORD10021,CUST1273,East,Technology,Accessories,Wireless Charger,3,44.04,38.04,6.0,2023-04-10
ORD10022,CUST1003,East,Office Supplies,Binders,Binder A,5,266.19,203.64,62.55,2024-05-11
ORD10023,CUST1654,South,Technology,Accessories,USB Cable,9,318.59,225.57,93.02,2024-03-08
ORD10024,CUST1944,North,Office Supplies,Paper,Premium Paper Pack,1,551.24,316.38,234.86,2022-04-25
ORD10025,CUST1951,East,Furniture,Chairs,Ergo Chair,4,969.89,785.66,184.23,2024-06-18
ORD10026,CUST1580,North,Technology,Copiers,Office Copier Y,2,940.1,806.54,133.56,2024-02-18
ORD10027,CUST1545,South,Technology,Copiers,Office Copier Y,9,601.92,522.92,79.0,2022-06-19
ORD10028,CUST1271,West,Technology,Copiers,Office Copier X,5,97.61,56.46,41.15,2023-02-13
ORD10029,CUST1687,East,Furniture,Bookcases,Metal Bookcase,2,54.78,34.52,20.26,2022-09-11
ORD10030,CUST1230,North,Furniture,Chairs,Ergo Chair,10,394.79,240.25,154.54,2022-08-14
ORD10031,CUST1007,North,Office Supplies,Storage,Storage Box,4,830.45,533.73,296.72,2022-03-11
ORD10032,CUST1927,North,Furniture,Chairs,Ergo Chair,5,288.13,206.61,81.52,2023-11-17
ORD10033,CUST1497,South,Office Supplies,Binders,Binder B,4,149.51,122.73,26.78,2024-03-14
ORD10034,CUST1484,West,Technology,Phones,iPhone Model A,7,83.81,74.99,8.82,2022-12-29
ORD10035,CUST1433,West,Furniture,Bookcases,Wood Bookcase,2,774.52,448.82,325.7,2022-03-04
ORD10036,CUST1412,East,Technology,Phones,iPhone Model A,4,15.47,12.78,2.69,2023-07-04
